p0,p1,p2,p3,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,time
1,0,0,1,1,0,0,1,0,0,0,1,1,1,1,10931050
1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,10925897
1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,10926771
1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,10455903
0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,9576545
0,1,0,0,1,0,0,1,0,0,0,1,1,1,1,10936413
0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,10923757
0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,10925632
0,0,0,1,1,0,0,1,0,0,0,1,1,1,1,10925086
1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,10925614
1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,9576790
1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,10913390
1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,10929593
1,1,0,0,1,0,1,0,0,0,0,1,1,1,1,10923138
0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,10925661
0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,9575953
0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,9567307
0,1,1,0,1,0,1,0,0,0,0,1,1,1,1,9556600
0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,10924387
1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,10923102
1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,10933155
1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,10918805
1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,9566387
1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,10937704
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,10762249
0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,9569398
0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,10926797
0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,10926377
0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,10922559
1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,10928832
1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,10924240
1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,10930913
1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,10922512
1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,10910441
0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,10924452
0,1,0,0,1,0,1,1,1,1,1,0,1,1,1,9569300
0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,10922251
0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,10926001
0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,10930065
1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,10927532
1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,10924582
1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,10933327
1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,10921308
1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,10924334
0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,10919234
0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,9580039
0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,9562977
0,1,1,0,1,0,0,1,1,1,1,0,1,1,1,9559245
0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,9562035
1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,10928552
1,0,0,1,1,0,1,0,1,1,1,0,1,1,1,9575580
1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,10929518
1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,10922327
1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,9570992
0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,10932511
0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,9570972
0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,10929102
0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,10912028
0,0,0,1,1,0,1,0,1,1,1,0,1,1,1,10923094
1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,10926124
1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,10916655
1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,10878746
1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,10426678
1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,10941500
0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,10136058
0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,10921975
0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,10912837
0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,10922870
0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,10922456
1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,10921346
1,0,0,1,1,0,1,1,0,1,1,0,1,1,1,10925295
1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,9575573
1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,9580990
1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,10928941
0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,10936041
0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,10962323
0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,9569678
0,1,1,0,1,0,1,1,0,1,1,0,1,1,1,10933293
0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,9578207
1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,10936839
1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,10923392
1,1,1,0,1,0,0,1,0,1,1,0,1,1,1,10924141
1,0,1,0,1,0,0,1,0,1,1,0,1,1,1,10921336
1,1,0,0,1,0,0,1,0,1,1,0,1,1,1,10915708
0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,9952565
0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,9568276
0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,10925888
0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,10922127
0,0,0,1,1,0,0,1,0,1,1,0,1,1,1,10263527
1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,10922543
1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,9576867
1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,10920993
1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,10925063
1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,10920417
0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,10950856
0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,9578598
0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,10917755
0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,10050860
0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,10934593
1,1,0,1,1,0,0,0,0,1,1,0,1,1,1,10923843
1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,10923368
1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,10934733
1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,10924370
1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,10922242
0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,10921538
0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,10926778
0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,10923102
0,1,1,0,1,0,0,0,0,1,1,0,1,1,1,10894428
0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,10934144
1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,9575606
1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,10923069
1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,10927442
1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,10921605
1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,10921140
0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,10921544
0,1,0,0,1,0,1,1,1,0,1,0,1,1,1,10930621
0,0,1,0,1,0,1,1,1,0,1,0,1,1,1,10929816
0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,10931901
0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,9573981
